ID,Hyperplastic_FEATURES,JOB,AGE,DRÜSE RUND,LUMEN UNFÖRMIG,,OBJEKT zuordnung,Kategorie
1,Zellkerne auserhalb,  ,24,Falsch,Richtig,,"['ZELLKERN', 'ZELLKERN']",
1,oval,  ,24,Falsch,Richtig,,[],
1,starke Kontrastierung,  ,24,Falsch,Richtig,,[],
1,Inhomogenes weis im Inneren,  ,24,Falsch,Richtig,,[],
1,Drüse schwarz umrandet,  ,24,Falsch,Richtig,,['DRÜSE'],
4,Oval,  ,21,Falsch,Richtig,,[],
4,Asymmetrisch ,  ,21,Falsch,Richtig,,[],
4,Löchrig,  ,21,Falsch,Richtig,,[],
4,Gland boundary geschwächt,  ,21,Falsch,Richtig,,['DRÜSE'],
4,Unregelmäßig ,  ,21,Falsch,Richtig,,[],
8,vergrößertes Lumen,MedStudent  ,26,Falsch,Richtig,,['LUMEN'],
8,Blaufärbung,MedStudent  ,26,Falsch,Richtig,,[],
8,prominente Zellkerne,MedStudent  ,26,Falsch,Richtig,,"['ZELLKERN', 'ZELLKERN']",
8,Hyperplasie der Zellen?,MedStudent  ,26,Falsch,Richtig,,['ZELLE'],
8,Asymmetrie,MedStudent  ,26,Falsch,Richtig,,[],
10,mehr oval als rund Druesengrenze,  TU Student (Biomedical Engineering),23,Richtig,Richtig,,[],
10,sehr weisses Lumen,  TU Student (Biomedical Engineering),23,Richtig,Richtig,,['LUMEN'],
10,wenige Epithelzellen,  TU Student (Biomedical Engineering),23,Richtig,Richtig,,"['ZELLE', 'ZELLE']",
10,Lumen nicht rund ,  TU Student (Biomedical Engineering),23,Richtig,Richtig,,['LUMEN'],
10,dunkles Bereich ausserhalb von Lumen,  TU Student (Biomedical Engineering),23,Richtig,Richtig,,['LUMEN'],
11,schwarze Punkte,  Biomedical Engineering Student,26,Falsch,Richtig,,[],
11,unklare Übergänge,  Biomedical Engineering Student,26,Falsch,Richtig,,[],
11,Lumen als Insel,  Biomedical Engineering Student,26,Falsch,Richtig,,['LUMEN'],
11,Avocadoförmige Abtrennung,  Biomedical Engineering Student,26,Falsch,Richtig,,[],
11,marmorartige Strukturen in Lumen,  Biomedical Engineering Student,26,Falsch,Richtig,,['LUMEN'],
11,langezogene Drüse,  Biomedical Engineering Student,26,Falsch,Richtig,,['DRÜSE'],
11,"heller, unförmiger Kern",  Biomedical Engineering Student,26,Falsch,Richtig,,['ZELLKERN'],
11,Drüse hebt sich vom umliegenden Gewebe,  Biomedical Engineering Student,26,Falsch,Richtig,,['DRÜSE'],
11,"dunkler, fleckiger Rand",  Biomedical Engineering Student,26,Falsch,Richtig,,[],
12,vergrößert,MedStudent  8. semester,24,Falsch,Richtig,,[],
12,oval,MedStudent  8. semester,24,Falsch,Richtig,,[],
12,unförmig,MedStudent  8. semester,24,Falsch,Richtig,,[],
12,drüseninhalt,MedStudent  8. semester,24,Falsch,Richtig,,['DRÜSE'],
12,evtl infiltration ,MedStudent  8. semester,24,Falsch,Richtig,,[],
14,Oval,  Bachelor of Science ,22,Richtig,Richtig,,[],
14,Dunkel,  Bachelor of Science ,22,Richtig,Richtig,,[],
14,Weiß,  Bachelor of Science ,22,Richtig,Richtig,,[],
14,Adern,  Bachelor of Science ,22,Richtig,Richtig,,[],
14,Punkte,  Bachelor of Science ,22,Richtig,Richtig,,[],
15,Lumen oval,  ,22,Falsch,Falsch,,['LUMEN'],
15,Lumen luftig,  ,22,Falsch,Falsch,,['LUMEN'],
15,Lumen löchrig,  ,22,Falsch,Falsch,,['LUMEN'],
15,Drüsen entartet,  ,22,Falsch,Falsch,,['DRÜSE'],
15,Drüse kantig,  ,22,Falsch,Falsch,,['DRÜSE'],
16,Spinnenfäden mittig,  Architektur,25,Falsch,Richtig,,[],
16,Klecks in Hülle,  Architektur,25,Falsch,Richtig,,[],
16,Marmorierung mit Punkten außen,  Architektur,25,Falsch,Richtig,,[],
16,unregelmäßiger Ring um das Innere,  Architektur,25,Falsch,Richtig,,[],
16,Reihe von Punkten entlang  Außenkante,  Architektur,25,Falsch,Richtig,,[],
17,Drüse ist nicht symmetrisch,  Physiotherapeutin,26,Falsch,Richtig,,['DRÜSE'],
17,Struktur innerhalb des Lumens sichtbar,  Physiotherapeutin,26,Falsch,Richtig,,['LUMEN'],
17,klare Abgrenzung von Umgebung möglich,  Physiotherapeutin,26,Falsch,Richtig,,[],
17,Ausbuchtungen innerhalb der Drüsenwand,  Physiotherapeutin,26,Falsch,Richtig,,['DRÜSE'],
17,Drüsenwand ist ungleichmäßig dick,  Physiotherapeutin,26,Falsch,Richtig,,['DRÜSE'],
