ID,LG_ADENOMA_FEATURES,JOB,AGE,NUCLEI LILA,LUMEN UNFÖRMIG,,OBJEKT zuordnung,Kategorie
1,breite Umrandung ,  ,24,Falsch,Falsch,,[],
1,heller Kern,  ,24,Falsch,Falsch,,['ZELLKERN'],
1,mehrfärbig,  ,24,Falsch,Falsch,,[],
1,von rosa Fäden durchzogen,  ,24,Falsch,Falsch,,[],
1,eher rechteckig,  ,24,Falsch,Falsch,,[],
4,Stark durchzogen,  ,21,Falsch,Richtig,,[],
4,Lumen klein,  ,21,Falsch,Richtig,,['LUMEN'],
4,Gland boundary löchrig ,  ,21,Falsch,Richtig,,['DRÜSE'],
4,Netzartig ,  ,21,Falsch,Richtig,,[],
4,Nach innen ziehend ,  ,21,Falsch,Richtig,,[],
4,In sich symmetrisch ,  ,21,Falsch,Richtig,,[],
4,Deutliche Schichten ,  ,21,Falsch,Richtig,,[],
8,Blaufärung,MedStudent  ,26,Richtig,Falsch,,[],
8,prominente Zellkerne,MedStudent  ,26,Richtig,Falsch,,"['ZELLKERN', 'ZELLKERN']",
8,nachbart an weitere Drüse,MedStudent  ,26,Richtig,Falsch,,['DRÜSE'],
8,Lumen verengt,MedStudent  ,26,Richtig,Falsch,,['LUMEN'],
8,Becherzellen vergrößert?,MedStudent  ,26,Richtig,Falsch,,['ZELLE'],
10,kleines Lumen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,['LUMEN'],
10,unklare Druesengrenze,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,[],
10,weisses Lumen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,['LUMEN'],
10,verschwommenes Stroma,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,['STROMA'],
10,viele Epithelzellen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,"['ZELLE', 'ZELLE']",
11,Mandala,  Biomedical Engineering Student,26,Richtig,Richtig,,[],
11,keine klare Trennung zu Lumen,  Biomedical Engineering Student,26,Richtig,Richtig,,['LUMEN'],
11,Anhäufung lila Punkte,  Biomedical Engineering Student,26,Richtig,Richtig,,[],
11,3 runde Schichten,  Biomedical Engineering Student,26,Richtig,Richtig,,[],
11,Keine klaren Grenzen,  Biomedical Engineering Student,26,Richtig,Richtig,,[],
11,Quetschung von rechts unten,  Biomedical Engineering Student,26,Richtig,Richtig,,[],
11,Lumen zentral und hell,  Biomedical Engineering Student,26,Richtig,Richtig,,['LUMEN'],
11,rosa als Verbindendes Element,  Biomedical Engineering Student,26,Richtig,Richtig,,[],
11,Quadrat mit abgerundeten Ecken,  Biomedical Engineering Student,26,Richtig,Richtig,,[],
12,enges lumen,MedStudent  8. semester,24,Richtig,Falsch,,['LUMEN'],
12,rand gut sichtbar,MedStudent  8. semester,24,Richtig,Falsch,,[],
12,dichtes stroma,MedStudent  8. semester,24,Richtig,Falsch,,['STROMA'],
12,andere drüsenendstücke sichtbar,MedStudent  8. semester,24,Richtig,Falsch,,['DRÜSE'],
12,gut beurteilbar,MedStudent  8. semester,24,Richtig,Falsch,,[],
14,Rosa,  Bachelor of Science ,22,Richtig,Falsch,,[],
14,Flieder farben,  Bachelor of Science ,22,Richtig,Falsch,,[],
14,Kreisförmig,  Bachelor of Science ,22,Richtig,Falsch,,[],
14,Oval,  Bachelor of Science ,22,Richtig,Falsch,,[],
14,Viele Zellen,  Bachelor of Science ,22,Richtig,Falsch,,['ZELLE'],
15,Lumen angeschwollen,  ,22,Richtig,Richtig,,['LUMEN'],
15,Lumen luftig,  ,22,Richtig,Richtig,,['LUMEN'],
15,Lumen lila,  ,22,Richtig,Richtig,,['LUMEN'],
15,Lumen netzartig,  ,22,Richtig,Richtig,,['LUMEN'],
15,Drüse klein,  ,22,Richtig,Richtig,,['DRÜSE'],
16,längliches Zentrum,  Architektur,25,Richtig,Richtig,,[],
16,lineare Verbindungen Außen zu Innen,  Architektur,25,Richtig,Richtig,,[],
16,breiter äußerer Ring,  Architektur,25,Richtig,Richtig,,[],
16,klar abgegrenzter Kern,  Architektur,25,Richtig,Richtig,,['ZELLKERN'],
16,Gesamtes nicht Kreisförmig ,  Architektur,25,Richtig,Richtig,,[],
17,ovale Drüsenform,  Physiotherapeutin,26,Richtig,Richtig,,['DRÜSE'],
17,klare Abgrenzung von Umgebung möglich,  Physiotherapeutin,26,Richtig,Richtig,,[],
17,Drüsenwand aus vielen kleinen Zellen,  Physiotherapeutin,26,Richtig,Richtig,,"['DRÜSE', 'ZELLE']",
17,dicke Drüsenwand,  Physiotherapeutin,26,Richtig,Richtig,,['DRÜSE'],
17,ovales Lumen,  Physiotherapeutin,26,Richtig,Richtig,,['LUMEN'],
